practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.rt,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tFeedback.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,33.40082410001196,None,567,40,0.006099267302654233,1.0161130666965619,None,None,0,35.42105420003645,36.42236510000657,None,1,34.4125866999384,35.42105420003645,['space'],0,[0.8197627000045031],36.42236510000657,None,37.47051549993921,None,,,,,,,,,,,,,,,,,,,,bihhjl,001,fr,200,2022-06-23_11h00.37.026,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0095877666026354,None,['space'],1,44.32683909998741,45.33132230001502,None,1,43.31105200003367,44.32683909998741,None,1,,45.33132230001502,None,46.364904499961995,None,[0.4914110000245273],,,,,,,,,,,,,,,,,,,bihhjl,001,fr,200,2022-06-23_11h00.37.026,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0078611668432131,None,['space'],1,52.372020500013605,53.40241270000115,None,1,51.37290990003385,52.372020500013605,None,1,,53.40241270000115,None,54.43416609999258,None,[0.5182368999812752],,,,,,,,,,,,,,,,,,,bihhjl,001,fr,200,2022-06-23_11h00.37.026,Bayesian,2022.1.1,None,
,,,,0,0,0,0,65.03592729999218,None,,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.005229800008237362,None,['space'],1,[0.4047982000047341],66.1251405000221,67.13552410004195,None,1,67.13552410004195,None,,,bihhjl,001,fr,200,2022-06-23_11h00.37.026,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.0010845332872122526,0.18492783326655626,['space'],1,[0.5192854999331757],70.2114164000377,71.2186860999791,None,1,71.2186860999791,70.2114164000377,,,bihhjl,001,fr,200,2022-06-23_11h00.37.026,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.005421800073236227,0.19325090001802891,None,0,,73.24499479995575,74.25426159997005,None,1,74.25426159997005,73.24499479995575,,,bihhjl,001,fr,200,2022-06-23_11h00.37.026,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.011001933249644935,None,None,0,,76.42720749997534,77.44844399997965,None,1,77.44844399997965,76.42720749997534,,,bihhjl,001,fr,200,2022-06-23_11h00.37.026,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,30,0.001527460556607757,False,0.002503099967725575,None,None,0,,79.03863349999301,80.04216189996805,None,1,80.04216189996805,79.03863349999301,,,bihhjl,001,fr,200,2022-06-23_11h00.37.026,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1500, 30]], 'y': [[1], [1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,50,0.01527460556607757,False,0.007231699884869158,None,['space'],1,[0.3820886999601498],82.66860169998836,83.6727711999556,None,1,83.6727711999556,82.66860169998836,,,bihhjl,001,fr,200,2022-06-23_11h00.37.026,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1500, 30], [1500, 50]], 'y': [[1], [1], [-1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,30,0.0023657562948074026,False,0.010351700009778142,None,None,0,,85.66788369999267,86.67196059995331,None,1,86.67196059995331,85.66788369999267,,,bihhjl,001,fr,200,2022-06-23_11h00.37.026,Bayesian,2022.1.1,None,
