practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,34.701027899980545,None,567,40,0.006099267302654233,1.0169437668519095,None,['space'],1,[0.25644490006379783],36.70801900001243,37.710739100002684,None,1,35.69405910000205,36.70801900001243,None,1,37.710739100002684,None,38.75631840003189,None,,,,,,,,,,,,,,,,,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.018023866810836,None,['space'],1,[0.3322163999546319],45.54404150007758,46.55016920005437,None,1,44.54272100003436,45.54404150007758,None,1,46.55016920005437,None,47.57232759997714,None,,,,,,,,,,,,,,,,,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0218211667379364,None,['space'],1,[0.2561015000101179],49.58816350006964,50.58482860005461,None,1,48.58098850003444,49.58816350006964,None,1,50.58482860005461,None,51.61477129999548,None,,,,,,,,,,,,,,,,,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,0,0,0,0,56.071631200029515,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.012772900052368641,None,['space'],1,[0.2167891999706626],57.1470902999863,58.15736559999641,None,1,58.15736559999641,None,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.004459333373233676,None,['space'],1,[0.20442480000201613],60.343694300041534,61.34970979997888,None,1,61.34970979997888,60.343694300041534,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.01537299994379282,None,['space'],1,[0.2344457000726834],62.64909229998011,63.66064130002633,None,1,63.66064130002633,62.64909229998011,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.01344603335019201,None,['space'],1,[0.5323649999918416],65.13584340002853,66.16247360000852,None,1,66.16247360000852,65.13584340002853,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.007906066603027284,None,None,0,,68.37140280008316,69.37649060005788,None,1,69.37649060005788,68.37140280008316,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.013970799860544503,None,['space'],1,[0.404606300056912],71.7280305000022,72.73625610000454,None,1,72.73625610000454,71.7280305000022,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10]], 'y': [[1], [1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.007518499856814742,None,None,0,,74.63434870005585,75.64787820004858,None,1,75.64787820004858,74.63434870005585,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10]], 'y': [[1], [1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.015835733385756612,None,None,0,,77.04123930004425,78.04620790004265,None,1,78.04620790004265,77.04123930004425,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10]], 'y': [[1], [1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,10,0.00023657562948074026,False,0.008982399944216013,None,['space'],1,[0.328514700056985],79.61302240006626,80.61938080005348,None,1,80.61938080005348,79.61302240006626,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, 10]], 'y': [[1], [1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,-10,2.3657562948074015e-05,False,0.007599000004120171,None,None,0,,83.10919880005531,84.12664070003666,None,1,84.12664070003666,83.10919880005531,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, 10], [2000, -10]], 'y': [[1], [1], [1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",3000,10,0.00017336842522626576,False,0.003949200036004186,0.19703060004394501,['space'],1,[0.2932930000824854],85.64631079998799,86.65744470001664,None,1,86.65744470001664,85.64631079998799,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, 10], [2000, -10], [3000, 10]], 'y': [[1], [1], [1], [-1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.013564333319664001,None,None,0,,88.8920193000231,89.89561180002056,None,1,89.89561180002056,88.8920193000231,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, 10], [2000, -10], [3000, 10]], 'y': [[1], [1], [1], [-1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",3000,-10,1.7336842522626584e-05,False,0.010806399979628623,None,None,0,,92.91494360007346,93.93388530006632,None,1,93.93388530006632,92.91494360007346,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, 10], [2000, -10], [3000, 10], [3000, -10]], 'y': [[1], [1], [1], [-1], [1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",4000,10,0.00026544222211549425,False,0.0006844999734312296,None,['space'],1,[0.24228919995948672],96.06589139997959,97.07827569998335,None,1,97.07827569998335,96.06589139997959,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, 10], [2000, -10], [3000, 10], [3000, -10], [4000, 10]], 'y': [[1], [1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",4000,-10,2.6544222211549425e-05,False,0.011635199887678027,None,['space'],1,[0.7027217999566346],100.03736970003229,101.03922440006863,None,1,101.03922440006863,100.03736970003229,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, 10], [2000, -10], [3000, 10], [3000, -10], [4000, 10], [4000, -10]], 'y': [[1], [1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.013361733290366828,None,None,0,,103.6017682000529,104.61199180001859,None,1,104.61199180001859,103.6017682000529,,,cbtxie,001,fr,200,2022-05-05_15h42.23.151,Bayesian,2022.1.1,None,
