practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,32.5092813000083,None,567,40,0.006099267302654233,0.9998083667596802,None,['space'],1,[0.6796354999532923],34.49339790001977,35.514040200039744,None,1,33.51028940000106,34.51755580003373,None,1,35.514040200039744,None,36.55839260003995,None,,,,,,,,,,,,,,,,,,,cmzntn,002,fr,200,2022-05-02_14h16.10.237,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0076046667527407,None,['space'],1,[0.7484011999331415],39.3995040000882,40.3933714000741,None,1,38.418390800012276,39.453967200010084,None,1,40.3933714000741,None,41.422071600100026,None,,,,,,,,,,,,,,,,,,,cmzntn,002,fr,200,2022-05-02_14h16.10.237,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0127785666845739,None,['space'],1,[0.852123000076972],43.82433860003948,44.82944620004855,None,1,42.825040200026706,43.835654200054705,None,1,44.82944620004855,None,45.86244550009724,None,,,,,,,,,,,,,,,,,,,cmzntn,002,fr,200,2022-05-02_14h16.10.237,Bayesian,2022.1.1,None,
,,,,0,0,0,0,48.69008450000547,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.00020623346790671349,0.1906683334382251,['space'],1,[0.5161548000760376],49.75919370003976,50.77005890000146,None,1,50.77005890000146,None,,,cmzntn,002,fr,200,2022-05-02_14h16.10.237,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.006775733316317201,None,['space'],1,[0.36360260006040335],52.16900260001421,53.178430700092576,None,1,53.178430700092576,52.16900260001421,,,cmzntn,002,fr,200,2022-05-02_14h16.10.237,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.011134966625832021,None,['space'],1,[0.5100948000326753],55.350865000043996,56.348024300066754,None,1,56.348024300066754,55.350865000043996,,,cmzntn,002,fr,200,2022-05-02_14h16.10.237,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.011956100002862513,None,['space'],1,[0.5860025000292808],58.20333620009478,59.218166800099425,None,1,59.218166800099425,58.20333620009478,,,cmzntn,002,fr,200,2022-05-02_14h16.10.237,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,-20,4.405244365040069e-06,False,0.01390500005800277,None,None,0,,61.97048950009048,62.971490300027654,None,1,62.971490300027654,61.97048950009048,,,cmzntn,002,fr,200,2022-05-02_14h16.10.237,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20]], 'y': [[1], [1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.01607680006418377,None,None,0,,65.76660700002685,66.78150490007829,None,1,66.78150490007829,65.76660700002685,,,cmzntn,002,fr,200,2022-05-02_14h16.10.237,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10]], 'y': [[1], [1], [1], [1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.01504933345131576,None,None,0,,68.45110599999316,69.46551550005097,None,1,69.46551550005097,68.45110599999316,,,cmzntn,002,fr,200,2022-05-02_14h16.10.237,Bayesian,2022.1.1,None,
