practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,32.65166820000002,None,567,40,0.006099267302654233,1.0072208666667848,None,['space'],1,[0.42813520000004246],34.68767390000005,35.69498090000002,None,1,33.67684870000005,34.70932330000005,None,1,35.69498090000002,None,36.74748980000004,None,,,,,,,,,,,,,,,,,,,cwzopc,001,english,200,2022-07-20_10h32.49.698,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0252369666666254,None,['space'],1,[0.46938380000005964],40.62306739999997,41.63475919999996,None,1,39.61345510000001,40.62306739999997,None,1,41.63475919999996,None,42.68033820000005,None,,,,,,,,,,,,,,,,,,,cwzopc,001,english,200,2022-07-20_10h32.49.698,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0233832666666558,None,['space'],1,[0.39694070000007287],45.071100200000046,46.08756770000002,None,1,44.05186119999996,45.071100200000046,None,1,46.08756770000002,None,47.12060900000006,None,,,,,,,,,,,,,,,,,,,cwzopc,001,english,200,2022-07-20_10h32.49.698,Bayesian,2022.1.1,None,
,,,,0,0,0,0,50.27175599999998,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.010568800000100964,None,['space'],1,[0.34402810000005957],51.35575419999998,52.3627113,None,1,52.3627113,None,,,cwzopc,001,english,200,2022-07-20_10h32.49.698,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.01262033333330237,None,['space'],1,[0.4223172000000659],54.8306867,55.84097770000005,None,1,55.84097770000005,54.8306867,,,cwzopc,001,english,200,2022-07-20_10h32.49.698,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.001405300000101306,0.19839340000009997,['space'],1,[0.3425461000000496],58.66147609999996,59.663480100000015,None,1,59.663480100000015,58.66147609999996,,,cwzopc,001,english,200,2022-07-20_10h32.49.698,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.008562500000039108,None,None,0,,62.570402400000035,63.57328810000001,None,1,63.57328810000001,62.570402400000035,,,cwzopc,001,english,200,2022-07-20_10h32.49.698,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.015362833333256276,None,None,0,,65.8277167,66.84071159999996,None,1,66.84071159999996,65.8277167,,,cwzopc,001,english,200,2022-07-20_10h32.49.698,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.013428266666778654,None,None,0,,69.4422836,70.4418124,None,1,70.4418124,69.4422836,,,cwzopc,001,english,200,2022-07-20_10h32.49.698,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10]], 'y': [[1], [1], [1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,30,0.001527460556607757,False,0.013970566666557716,None,['space'],1,[0.5578567999999677],73.25444140000002,74.28636740000002,None,1,74.28636740000002,73.25444140000002,,,cwzopc,001,english,200,2022-07-20_10h32.49.698,Bayesian,2022.1.1,None,
