practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,27.503175499965437,None,567,40,0.006099267302654233,1.0033989667426795,None,['space'],1,[0.6279781999764964],29.517940300051123,30.52166580001358,None,1,28.52208939997945,29.533848499995656,None,1,30.52166580001358,None,31.560117000015453,None,,,,,,,,,,,,,,,,,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0024075666442513,None,['space'],1,[0.39438850001897663],35.543708199984394,36.54514569998719,None,1,34.560465799993835,35.572497399989516,None,1,36.54514569998719,None,37.5967515000375,None,,,,,,,,,,,,,,,,,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0177962665911764,None,['space'],1,[0.430448199971579],39.731782800052315,40.74475780001376,None,1,38.72903289995156,39.74868209997658,None,1,40.74475780001376,None,41.779458399978466,None,,,,,,,,,,,,,,,,,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,0,0,0,0,52.377874700003304,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.007950100000016391,0.20368999999482185,['space'],1,[0.3956645999569446],53.46270499995444,54.48188239999581,None,1,54.48188239999581,None,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.01024046668317169,None,['space'],1,[0.4177629000041634],56.559920600033365,57.56883809994906,None,1,57.56883809994906,56.559920600033365,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.009375099907629192,None,['space'],1,[0.43104179995134473],60.27503180003259,61.30081960000098,None,1,61.30081960000098,60.27503180003259,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.00737100001424551,None,['space'],1,[0.4742485999595374],62.90275190002285,63.90695940004662,None,1,63.90695940004662,62.90275190002285,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.014700333354994655,None,None,0,,66.64324630005285,67.63617820001673,None,1,67.63617820001673,66.64324630005285,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,-20,4.405244365040069e-06,False,0.0054194999393075705,0.19517540000379086,None,0,,70.03091940004379,71.04889580002055,None,1,71.04889580002055,70.03091940004379,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20]], 'y': [[1], [1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.015539700048975646,None,None,0,,73.47275349998381,74.48605579999276,None,1,74.48605579999276,73.47275349998381,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
