practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.rt,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tFeedback.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,78.9202819999773,None,567,40,0.006099267302654233,1.0008949667681009,None,None,0,80.91667270008475,81.93456750013866,None,1,79.92465019994415,80.94681470002979,['space'],0,[0.004331399919465184],81.93456750013866,None,82.9863156999927,None,,,,,,,,,,,,,,,,,,,,erfnpg,001,fr,200,2022-05-10_14h10.09.143,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.008913766592741,None,['space'],1,89.52163249999285,90.52712260000408,None,1,88.51810280000791,89.5427522000391,None,1,,90.52712260000408,None,91.56119220005348,None,[0.3529630000703037],,,,,,,,,,,,,,,,,,,erfnpg,001,fr,200,2022-05-10_14h10.09.143,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0091346667613834,None,['space'],1,94.59792730002664,95.60067449999042,None,1,93.59865609998815,94.59792730002664,None,1,,95.60067449999042,None,96.62882550014183,None,[0.3644667000044137],,,,,,,,,,,,,,,,,,,erfnpg,001,fr,200,2022-05-10_14h10.09.143,Bayesian,2022.1.1,None,
,,,,0,0,0,0,103.78668970009312,None,,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.0078112001065164804,None,['space'],1,[0.28137129987590015],104.87271140003577,105.87377679999918,None,1,105.87377679999918,None,,,erfnpg,001,fr,200,2022-05-10_14h10.09.143,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.010407200315967202,None,['space'],1,[0.2681332000065595],107.23862840002403,108.24226880003698,None,1,108.24226880003698,107.23862840002403,,,erfnpg,001,fr,200,2022-05-10_14h10.09.143,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.009112200001254678,None,['space'],1,[0.2844920998904854],110.62924060015939,111.66416879999451,None,1,111.66416879999451,110.62924060015939,,,erfnpg,001,fr,200,2022-05-10_14h10.09.143,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.007682200288400054,None,['space'],1,[0.5899043998215348],113.65294119995087,114.66000779997557,None,1,114.66000779997557,113.65294119995087,,,erfnpg,001,fr,200,2022-05-10_14h10.09.143,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.011667933315038681,0.20647703320719302,None,0,,115.83680259995162,116.85017590015195,None,1,116.85017590015195,115.83680259995162,,,erfnpg,001,fr,200,2022-05-10_14h10.09.143,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,-20,4.405244365040069e-06,False,0.010635300073772669,None,None,0,,118.17157669994049,119.18258580006659,None,1,119.18258580006659,118.17157669994049,,,erfnpg,001,fr,200,2022-05-10_14h10.09.143,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20]], 'y': [[1], [1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.013739199843257666,None,None,0,,121.13810899993405,122.15584230003878,None,1,122.15584230003878,121.13810899993405,,,erfnpg,001,fr,200,2022-05-10_14h10.09.143,Bayesian,2022.1.1,None,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10]], 'y': [[1], [1], [1], [1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.004541866946965456,None,None,0,,125.13711290014908,126.1454257001169,None,1,126.1454257001169,125.13711290014908,,,erfnpg,001,fr,200,2022-05-10_14h10.09.143,Bayesian,2022.1.1,None,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.010824833298102021,None,None,0,,128.88228350016288,129.89746480016038,None,1,129.89746480016038,128.88228350016288,,,erfnpg,001,fr,200,2022-05-10_14h10.09.143,Bayesian,2022.1.1,None,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,30,0.001527460556607757,False,0.008490800159052014,None,['space'],1,[0.5135806000325829],132.75230589997955,133.77332590008155,None,1,133.77332590008155,132.75230589997955,,,erfnpg,001,fr,200,2022-05-10_14h10.09.143,Bayesian,2022.1.1,None,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [1500, 30]], 'y': [[1], [1], [1], [1], [-1], [-1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,10,0.00023657562948074026,False,0.00830559991300106,None,['space'],1,[0.4916495999787003],136.39158220007084,137.41183110000566,None,1,137.41183110000566,136.39158220007084,,,erfnpg,001,fr,200,2022-05-10_14h10.09.143,Bayesian,2022.1.1,None,
