practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.rt,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tFeedback.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,80.46429280005395,None,567,40,0.006099267302654233,1.0155536665115505,None,None,0,82.48497959994711,83.49076310009696,None,1,81.48472840012982,82.49568130006082,['space'],0,[0.06276079989038408],83.49076310009696,None,84.5279387999326,None,,,,,,,,,,,,,,,,,,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0023100667167455,None,['space'],1,94.5605878001079,95.57019510003738,None,1,93.57917649997398,94.5980851999484,None,1,,95.57019510003738,None,96.60437020007521,None,[0.3844015998765826],,,,,,,,,,,,,,,,,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0110595666337758,None,['space'],1,98.96911419997923,99.97459600004368,None,1,97.96664629993029,98.96911419997923,None,1,,99.97459600004368,None,101.02580359997228,None,[0.3280959997791797],,,,,,,,,,,,,,,,,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,0,0,0,0,102.71925739990547,None,,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.005476400023326278,0.19547870010137558,['space'],1,[0.28231469984166324],103.81474300008267,104.8412343999371,None,1,104.8412343999371,None,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.013172999955713749,None,['space'],1,[0.36311119981110096],106.39051620010287,107.3977038001176,None,1,107.3977038001176,106.39051620010287,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.004243699833750725,None,['space'],1,[0.29728479986079037],109.19196940003894,110.20233349991031,None,1,110.20233349991031,109.19196940003894,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.00013023335486650467,0.18387583317235112,['space'],1,[0.38236279995180666],111.9706999999471,112.99425429990515,None,1,112.99425429990515,111.9706999999471,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.014228833373636007,None,None,0,,114.35122680012137,115.35873709991574,None,1,115.35873709991574,114.35122680012137,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,-20,4.405244365040069e-06,False,0.015774999978020787,None,None,0,,117.68143080011941,118.69083460001275,None,1,118.69083460001275,117.68143080011941,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20]], 'y': [[1], [1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.008309900294989347,None,None,0,,120.12862959993072,121.12184910010546,None,1,121.12184910010546,120.12862959993072,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
