practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,155.46976690000156,None,567,40,0.006099267302654233,1.018181466643,None,['space'],1,[0.33642950002104044],157.48393460002262,158.4854472000152,None,1,156.4715238000208,157.48393460002262,None,1,158.4854472000152,None,159.52024400001392,None,,,,,,,,,,,,,,,,,,,gtyzck,001,fr,200,2022-04-27_10h40.42.940,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0130618666298687,None,['space'],1,[0.3627851999772247],161.88879900000757,162.89027930001612,None,1,160.89082490000874,161.88879900000757,None,1,162.89027930001612,None,163.91501940001035,None,,,,,,,,,,,,,,,,,,,gtyzck,001,fr,200,2022-04-27_10h40.42.940,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0041913666354958,None,['space'],1,[0.30798179999692366],165.68743150000228,166.68804350000573,None,1,164.71669890001067,165.72735930001363,None,1,166.68804350000573,None,167.71751260000747,None,,,,,,,,,,,,,,,,,,,gtyzck,001,fr,200,2022-04-27_10h40.42.940,Bayesian,2022.1.1,None,
,,,,0,0,0,0,171.2007018000004,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,1.2700038496404886e-05,None,['space'],1,[0.4154648999974597],172.29947759999777,173.31742840001243,None,1,173.31742840001243,None,,,gtyzck,001,fr,200,2022-04-27_10h40.42.940,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.009544200001982972,None,['space'],1,[0.42559100000653416],176.37030960002448,177.3662142000103,None,1,177.3662142000103,176.37030960002448,,,gtyzck,001,fr,200,2022-04-27_10h40.42.940,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.010510599968256429,0.20704569996451028,['space'],1,[0.4505504000117071],178.52110360001097,179.53351259999909,None,1,179.53351259999909,178.52110360001097,,,gtyzck,001,fr,200,2022-04-27_10h40.42.940,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.011258233338594437,None,['space'],1,[0.20503460001782514],181.4381067000213,182.46573460000218,None,1,182.46573460000218,181.4381067000213,,,gtyzck,001,fr,200,2022-04-27_10h40.42.940,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.009163200011244044,None,None,0,,184.46982740002568,185.47543260001112,None,1,185.47543260001112,184.46982740002568,,,gtyzck,001,fr,200,2022-04-27_10h40.42.940,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.012682900007348508,None,['space'],1,[0.44221800001105294],187.69689300001482,188.71697999999742,None,1,188.71697999999742,187.69689300001482,,,gtyzck,001,fr,200,2022-04-27_10h40.42.940,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10]], 'y': [[1], [1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.010827900026924908,None,None,0,,190.26932810002472,191.27201240000431,None,1,191.27201240000431,190.26932810002472,,,gtyzck,001,fr,200,2022-04-27_10h40.42.940,Bayesian,2022.1.1,None,
