practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.rt,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tFeedback.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,241.89710420000006,None,567,40,0.006099267302654233,1.0134957666664377,None,None,0,243.91956340000002,244.9208807,None,1,242.91651049999996,243.91956340000002,['space'],0,[0.2844073000001117],244.9208807,None,245.95716970000012,None,,,,,,,,,,,,,,,,,,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,0.9993200666665416,1.1987017666665452,['space'],1,251.49557389999995,252.49904140000012,None,1,250.50472690000015,251.5238472000001,None,1,,252.49904140000012,None,253.54156460000013,None,[0.47751769999990756],,,,,,,,,,,,,,,,,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0162672666667731,None,['space'],1,256.47498570000016,257.4707516000001,None,1,255.4832616000001,256.4965654,None,1,,257.4707516000001,None,258.50408130000005,None,[0.49023509999983617],,,,,,,,,,,,,,,,,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,0,0,0,0,263.0698159000001,None,,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.006642099999680795,None,['space'],1,[0.4557838000000629],264.172873,265.1923234000001,None,1,265.1923234000001,None,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.007217299999638271,None,None,0,,266.9788867,267.97738720000007,['space'],0,267.97738720000007,266.9788867,[0.18790629999989505],,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,50,0.01527460556607757,False,0.015237999999726526,None,['space'],1,[0.5908504999999877],270.53452730000004,271.55034049999995,None,1,271.55034049999995,270.53452730000004,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1500, 50]], 'y': [[1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.00022176666675477463,0.1852577666666093,None,0,,273.2130744000001,274.2257085000001,None,1,274.2257085000001,273.2130744000001,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1500, 50]], 'y': [[1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,30,0.001527460556607757,False,0.009173599999940052,None,['space'],1,[0.5007987999997567],276.6719686000001,277.6816719000001,None,1,277.6816719000001,276.6719686000001,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1500, 50], [1500, 30]], 'y': [[1], [-1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.008333200000151919,None,None,0,,279.6908644,280.72137250000014,None,1,280.72137250000014,279.6908644,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1500, 50], [1500, 30], [1500, 10]], 'y': [[1], [-1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,30,0.0023657562948074026,False,0.01094739999984995,None,['space'],1,[0.6080565999998271],283.5887471000001,284.6059735000001,None,1,284.6059735000001,283.5887471000001,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1500, 50], [1500, 30], [1500, 10], [2000, 30]], 'y': [[1], [-1], [1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,10,0.00023657562948074026,False,0.006989900000007765,None,None,0,,287.23367099999996,288.2526987000001,None,1,288.2526987000001,287.23367099999996,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1500, 50], [1500, 30], [1500, 10], [2000, 30], [2000, 10]], 'y': [[1], [-1], [1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",3000,30,0.001733684252262658,False,0.015028799999981857,None,['space'],1,[0.40999089999991156],290.0914030000001,291.1196986,None,1,291.1196986,290.0914030000001,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
