practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,16.238252199953422,None,567,40,0.006099267302654233,1.0055639668134972,None,['space'],1,[0.31134979997295886],18.231882699998096,19.231973999994807,None,1,17.25705689995084,18.272021399927326,None,1,19.231973999994807,None,20.266573200002313,None,,,,,,,,,,,,,,,,,,luc,001,fr,200,2022-07-08_13h59.30.017,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.005707066738978,None,['space'],1,[0.41323080006986856],22.43404089997057,23.461545999976806,None,1,21.44336709997151,22.462087200023234,None,1,23.461545999976806,None,24.502330799936317,None,,,,,,,,,,,,,,,,,,luc,001,fr,200,2022-07-08_13h59.30.017,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0125978668220341,None,['space'],1,[0.4197532000252977],25.844094799947925,26.871243600035086,None,1,24.84638919995632,25.844094799947925,None,1,26.871243600035086,None,27.904973199940287,None,,,,,,,,,,,,,,,,,,luc,001,fr,200,2022-07-08_13h59.30.017,Bayesian,2022.1.1,None,
,,,,0,0,0,0,29.46884769992903,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.012969300034455955,None,['space'],1,[0.4158389000222087],30.56695360003505,31.583396399975754,None,1,31.583396399975754,None,,luc,001,fr,200,2022-07-08_13h59.30.017,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.010047100018709898,None,['space'],1,[0.28474669996649027],34.674800299922936,35.698251500027254,None,1,35.698251500027254,34.674800299922936,,luc,001,fr,200,2022-07-08_13h59.30.017,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.010399899911135435,None,['space'],1,[0.2715939999325201],38.143771999981254,39.157924599945545,None,1,39.157924599945545,38.143771999981254,,luc,001,fr,200,2022-07-08_13h59.30.017,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.014903900097124279,None,['space'],1,[0.44926939997822046],40.28702399996109,41.314918000018224,None,1,41.314918000018224,40.28702399996109,,luc,001,fr,200,2022-07-08_13h59.30.017,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,-20,4.405244365040069e-06,False,0.009515700046904385,None,None,0,,43.99605399998836,44.99592409993056,None,1,44.99592409993056,43.99605399998836,,luc,001,fr,200,2022-07-08_13h59.30.017,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20]], 'y': [[1], [1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.007348599843680859,None,None,0,,47.027789899962954,48.050226900028065,None,1,48.050226900028065,47.027789899962954,,luc,001,fr,200,2022-07-08_13h59.30.017,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10]], 'y': [[1], [1], [1], [1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.0115415999898687,None,['space'],1,[0.3848411999642849],49.67808400001377,50.692760100006126,None,1,50.692760100006126,49.67808400001377,,luc,001,fr,200,2022-07-08_13h59.30.017,Bayesian,2022.1.1,None,
