practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,98.47084600001108,None,567,40,0.006099267302654233,0.999461266794242,None,['space'],1,[0.4610407999716699],100.4862438000273,101.51191290002316,None,1,99.4794288999401,100.4862438000273,None,1,101.51191290002316,None,102.55576589994598,None,,,,,,,,,,,,,,,,,,,nefynm,001,english,200,2022-05-06_09h20.14.230,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0049482666654512,None,['space'],1,[0.3931238999357447],105.78543219994754,106.81687189999502,None,1,104.77335739997216,105.80511119996663,None,1,106.81687189999502,None,107.85032389999833,None,,,,,,,,,,,,,,,,,,,nefynm,001,english,200,2022-05-06_09h20.14.230,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.017829266609624,None,['space'],1,[0.5158464000560343],111.23083799995948,112.23223620001227,None,1,110.23714880004991,111.23083799995948,None,1,112.23223620001227,None,113.26608570001554,None,,,,,,,,,,,,,,,,,,,nefynm,001,english,200,2022-05-06_09h20.14.230,Bayesian,2022.1.1,None,
,,,,0,0,0,0,117.85647789994255,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.0034296667436137795,None,['space'],1,[0.5105155000928789],118.96420159994159,119.97219969995786,None,1,119.97219969995786,None,,,nefynm,001,english,200,2022-05-06_09h20.14.230,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.011989933322183788,None,['space'],1,[0.5669981999089941],121.72380309994332,122.73410270002205,None,1,122.73410270002205,121.72380309994332,,,nefynm,001,english,200,2022-05-06_09h20.14.230,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.00911179999820888,None,['space'],1,[0.6245955000631511],125.77890679996926,126.77888380002696,None,1,126.77888380002696,125.77890679996926,,,nefynm,001,english,200,2022-05-06_09h20.14.230,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.013141933246515691,None,None,0,,128.9102414000081,129.9145012999652,None,1,129.9145012999652,128.9102414000081,,,nefynm,001,english,200,2022-05-06_09h20.14.230,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.012735199998132885,None,None,0,,132.50267970003188,133.52437260001898,['space'],0,133.52437260001898,132.50267970003188,[0.01424549997318536],,nefynm,001,english,200,2022-05-06_09h20.14.230,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.011470400029793382,None,['space'],1,[0.5819382999325171],136.23771170002874,137.2511195000261,None,1,137.2511195000261,136.23771170002874,,,nefynm,001,english,200,2022-05-06_09h20.14.230,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10]], 'y': [[1], [1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.007235099910758436,None,['space'],1,[-0.09922760003246367],139.9896281999536,140.99841050000396,None,1,140.99841050000396,139.9896281999536,,,nefynm,001,english,200,2022-05-06_09h20.14.230,Bayesian,2022.1.1,None,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10]], 'y': [[1], [1], [1], [-1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,6.506673526018858e-05,0.1934645667206496,None,0,,143.84949209995102,144.8686091999989,None,1,144.8686091999989,143.84949209995102,,,nefynm,001,english,200,2022-05-06_09h20.14.230,Bayesian,2022.1.1,None,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10]], 'y': [[1], [1], [1], [-1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,-10,2.3657562948074015e-05,False,0.0026025999104604125,None,None,0,,147.302721700049,148.3283223999897,None,1,148.3283223999897,147.302721700049,,,nefynm,001,english,200,2022-05-06_09h20.14.230,Bayesian,2022.1.1,None,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, -10]], 'y': [[1], [1], [1], [-1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,10,0.00023657562948074026,False,0.010949500021524727,None,['space'],1,[0.49233539996203035],150.48700359999202,151.50964079995174,None,1,151.50964079995174,150.48700359999202,,,nefynm,001,english,200,2022-05-06_09h20.14.230,Bayesian,2022.1.1,None,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, -10], [2000, 10]], 'y': [[1], [1], [1], [-1], [1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",3000,-10,1.7336842522626584e-05,False,0.006826399941928685,None,None,0,,154.07432470005006,155.09362679999322,None,1,155.09362679999322,154.07432470005006,,,nefynm,001,english,200,2022-05-06_09h20.14.230,Bayesian,2022.1.1,None,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, -10], [2000, 10], [3000, -10]], 'y': [[1], [1], [1], [-1], [1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.00043666677083820105,0.18442256678827107,None,0,,157.16340159997344,158.1747223000275,None,1,158.1747223000275,157.16340159997344,,,nefynm,001,english,200,2022-05-06_09h20.14.230,Bayesian,2022.1.1,None,
