practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,61.7744521999266,None,567,40,0.006099267302654233,1.0053412666311488,None,['space'],1,[0.48832719994243234],63.78942519996781,64.79553609993309,None,1,62.795604399987496,63.80437569995411,None,1,64.79553609993309,None,65.83403829997405,None,,,,,,,,,,,,,,,,,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0069837666815147,None,['space'],1,[0.49782360007520765],69.44470789993647,70.4724093999248,None,1,68.45212029991671,69.47286419989541,None,1,70.4724093999248,None,71.51067479990888,None,,,,,,,,,,,,,,,,,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0133231667568907,None,['space'],1,[0.44782859995029867],73.25466419989243,74.24969279998913,None,1,72.25625320000108,73.25466419989243,None,1,74.24969279998913,None,75.28301029989962,None,,,,,,,,,,,,,,,,,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,0,0,0,0,80.2196658999892,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.0075780999613925815,0.19941859995014966,['space'],1,[0.5411307000322267],81.31377849995624,82.3248934999574,None,1,82.3248934999574,None,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.009036000003106892,None,['space'],1,[0.6291849000845104],83.65801459993236,84.66717459994834,None,1,84.66717459994834,83.65801459993236,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.008808500017039478,None,['space'],1,[0.4739049000199884],86.19597060000524,87.22377619997133,None,1,87.22377619997133,86.19597060000524,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.012375833350233734,None,None,0,,88.26226949994452,89.27289989998098,None,1,89.27289989998098,88.26226949994452,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.008946999907493591,0.20032579987309873,None,0,,91.6506254998967,92.66329830000177,None,1,92.66329830000177,91.6506254998967,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.00786579994019121,None,['space'],1,[0.5280945000704378],95.73486959992442,96.73994589992799,None,1,96.73994589992799,95.73486959992442,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10]], 'y': [[1], [1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.010881900088861585,None,None,0,,97.9985960999038,99.01248979999218,None,1,99.01248979999218,97.9985960999038,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10]], 'y': [[1], [1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.014273133361712098,None,None,0,,100.1075832999777,101.11512149998453,None,1,101.11512149998453,100.1075832999777,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10]], 'y': [[1], [1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,10,0.00023657562948074026,False,0.009883899940177798,None,['space'],1,[0.46889889996964484],102.23434169997927,103.2435087999329,None,1,103.2435087999329,102.23434169997927,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
