practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,118.25433180015534,None,567,40,0.006099267302654233,1.008614566642791,None,['space'],1,[0.6191011001355946],120.29193900013342,121.30993850016966,None,1,119.2808933001943,120.29193900013342,None,1,121.30993850016966,None,122.34513760008849,None,,,,,,,,,,,,,,,,,,,nunamh,001,fr,200,2022-05-17_10h25.30.254,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,0.9992431665305048,None,['space'],1,[0.388311899965629],126.0513691001106,127.0692926000338,None,1,125.06630380009301,126.06216830015182,None,1,127.0692926000338,None,128.08620720007457,None,,,,,,,,,,,,,,,,,,,nunamh,001,fr,200,2022-05-17_10h25.30.254,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0032212666701525,None,['space'],1,[0.5194759001024067],130.3358995001763,131.34181620017625,None,1,129.32749280007556,130.3564838001039,None,1,131.34181620017625,None,132.37530030007474,None,,,,,,,,,,,,,,,,,,,nunamh,001,fr,200,2022-05-17_10h25.30.254,Bayesian,2022.1.1,None,
,,,,0,0,0,0,139.544080800144,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.011745200026780367,None,['space'],1,[0.37699979986064136],140.62344880006276,141.6471970002167,None,1,141.6471970002167,None,,,nunamh,001,fr,200,2022-05-17_10h25.30.254,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.0086817666888237,None,['space'],1,[0.016016799956560135],144.59915660019033,145.6182051000651,None,1,145.6182051000651,144.59915660019033,,,nunamh,001,fr,200,2022-05-17_10h25.30.254,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.007211500080302358,None,['space'],1,[0.30206639994867146],148.0577547000721,149.0685459000524,None,1,149.0685459000524,148.0577547000721,,,nunamh,001,fr,200,2022-05-17_10h25.30.254,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.013513300102204084,None,None,0,,150.17354760016315,151.17895920015872,None,1,151.17895920015872,150.17354760016315,,,nunamh,001,fr,200,2022-05-17_10h25.30.254,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.007104799849912524,None,['space'],1,[0.6737406998872757],153.68492590007372,154.70889720018022,None,1,154.70889720018022,153.68492590007372,,,nunamh,001,fr,200,2022-05-17_10h25.30.254,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10]], 'y': [[1], [1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.012175500160083175,None,None,0,,156.08140860009007,157.08772710012272,None,1,157.08772710012272,156.08140860009007,,,nunamh,001,fr,200,2022-05-17_10h25.30.254,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10]], 'y': [[1], [1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.012137333396822214,None,None,0,,159.83195650018752,160.82993340003304,None,1,160.82993340003304,159.83195650018752,,,nunamh,001,fr,200,2022-05-17_10h25.30.254,Bayesian,2022.1.1,None,
