practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,32.0915221000032,None,567,40,0.006099267302654233,1.0138513666461222,None,['space'],1,[0.5688175999966916],34.118494700000156,35.118672600001446,None,1,33.112146700004814,34.118494700000156,None,1,35.118672600001446,None,36.15756279999914,None,,,,,,,,,,,,,,,,,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0095761666598264,None,['space'],1,[0.4252377999946475],39.82932220000657,40.826779299997725,None,1,38.852204800001346,39.86248209999758,None,1,40.826779299997725,None,41.85714910000388,None,,,,,,,,,,,,,,,,,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0069171666691545,None,['space'],1,[0.4529175000061514],44.47504360000312,45.49053179999464,None,1,43.49123820000386,44.49207579999347,None,1,45.49053179999464,None,46.522709900003974,None,,,,,,,,,,,,,,,,,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,0,0,0,0,53.90531620000547,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.01256390000344254,None,['space'],1,[0.2997336000116775],54.99474690000352,56.00714180000068,None,1,56.00714180000068,None,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.009893833339447156,None,['space'],1,[0.24459729999944102],58.40350099999341,59.41612809999788,None,1,59.41612809999788,58.40350099999341,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.011766600015107542,None,['space'],1,[0.3412448000017321],60.538614400007646,61.55227780000132,None,1,61.55227780000132,60.538614400007646,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.009606833351426758,None,None,0,,64.24444589999621,65.24829889999819,None,1,65.24829889999819,64.24444589999621,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.006695499992929399,0.20518140000058338,None,0,,68.09423930000048,69.10094810000737,None,1,69.10094810000737,68.09423930000048,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.005953599989879876,None,['space'],1,[0.40417550000711344],71.01847609999822,72.02993279999646,None,1,72.02993279999646,71.01847609999822,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10]], 'y': [[1], [1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.007497999991755933,0.2018054999934975,None,0,,75.0092902000033,76.01757650000218,None,1,76.01757650000218,75.0092902000033,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
