practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,126.32794530002866,None,567,40,0.006099267302654233,1.0127239667344838,None,['space'],1,[0.5091621000319719],128.32408000004943,129.33373770001344,None,1,127.32487460004631,128.32408000004943,None,1,129.33373770001344,None,130.37107700004708,None,,,,,,,,,,,,,,,,,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0100179667351767,None,['space'],1,[0.48515449999831617],132.98831170005724,133.984218699974,None,1,131.98692789999768,133.01756399997976,None,1,133.984218699974,None,135.0165484000463,None,,,,,,,,,,,,,,,,,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,0.9997118667233735,None,['space'],1,[0.4809112000511959],137.36020380002446,138.36743620003108,None,1,136.3765101999743,137.38864310004283,None,1,138.36743620003108,None,139.3871873000171,None,,,,,,,,,,,,,,,,,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,0,0,0,0,143.32733140001073,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.013339399942196906,None,['space'],1,[0.4073765999637544],144.4254034999758,145.44215390004683,None,1,145.44215390004683,None,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.014813766698352993,None,['space'],1,[0.38928739994298667],147.64302329998463,148.65135770000052,None,1,148.65135770000052,147.64302329998463,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.0005911000771448016,0.19116730010136962,['space'],1,[0.4874540999298915],151.2745794999646,152.26843739999458,None,1,152.26843739999458,151.2745794999646,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.0058117000153288245,None,None,0,,154.46272199996747,155.4770117000444,None,1,155.4770117000444,154.46272199996747,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.016470433329232037,None,None,0,,157.17557540000416,158.17463170003612,None,1,158.17463170003612,157.17557540000416,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.006649299873970449,None,['space'],1,[0.45112730003893375],159.4698464999674,160.48345850000624,None,1,160.48345850000624,159.4698464999674,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10]], 'y': [[1], [1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.004884400055743754,None,None,0,,162.83843969996087,163.85297989996616,None,1,163.85297989996616,162.83843969996087,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
