practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,47.4774577000062,None,567,40,0.006099267302654233,1.0083850666705985,None,['space'],1,[0.39776660001371056],49.48800739998114,50.48513180000009,None,1,48.49247440000181,49.48800739998114,None,1,50.48513180000009,None,51.53048349998426,None,,,,,,,,,,,,,,,,,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0021345666318666,None,['space'],1,[0.3731270999996923],54.48872329998994,55.49121009997907,None,1,53.51788229998783,54.52797439999995,None,1,55.49121009997907,None,56.52374579999014,None,,,,,,,,,,,,,,,,,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,0.9992911666631699,None,['space'],1,[0.26027639998937957],59.451394799980335,60.455264599993825,None,1,58.46022249999805,59.46247619998758,None,1,60.455264599993825,None,61.48647959998925,None,,,,,,,,,,,,,,,,,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,0,0,0,0,67.31166219999432,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.005052066670032218,None,['space'],1,[0.4023979000048712],69.06859909999184,70.07765950000612,None,1,70.07765950000612,None,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.012415633333148435,0.21067793332622387,['space'],1,[0.46781400000327267],73.08268329998828,74.11179269998684,None,1,74.11179269998684,73.08268329998828,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.01077140000415966,None,['space'],1,[0.874953499995172],75.63586589999613,76.6409633999865,None,1,76.6409633999865,75.63586589999613,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.01142180000897497,None,['space'],1,[0.5712576000078116],78.43490339998971,79.45487379998667,None,1,79.45487379998667,78.43490339998971,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.014652833313448355,None,None,0,,82.15369779997854,83.15581649998785,None,1,83.15581649998785,82.15369779997854,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,-20,4.405244365040069e-06,False,0.016656800027703866,None,None,0,,85.25307979999343,86.28100590000395,None,1,86.28100590000395,85.25307979999343,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20]], 'y': [[1], [1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.007751199998892844,None,None,0,,88.65345919999527,89.66207669998403,None,1,89.66207669998403,88.65345919999527,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
