practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,24.339311900010216,None,567,40,0.006099267302654233,1.0100945666636107,None,['space'],1,[0.7666667000012239],26.338635600011912,27.349386000001687,None,1,25.359105499999714,26.371482500006096,None,1,27.349386000001687,None,28.397034300011,None,,,,,,,,,,,,,,,,,,,ttuwra,001,fr,200,2022-04-26_10h54.03.739,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0012857666733908,None,['space'],1,[0.5985712999972748],31.40308800000639,32.40787020001153,None,1,30.420059500000207,31.432311700002174,None,1,32.40787020001153,None,33.44334979999985,None,,,,,,,,,,,,,,,,,,,ttuwra,001,fr,200,2022-04-26_10h54.03.739,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0149256666772999,None,['space'],1,[0.5397461999964435],40.22947290001321,41.246349000008195,None,1,39.228892600003746,40.24672960001044,None,1,41.246349000008195,None,42.27599390000978,None,,,,,,,,,,,,,,,,,,,ttuwra,001,fr,200,2022-04-26_10h54.03.739,Bayesian,2022.1.1,None,
,,,,0,0,0,0,45.747480900012306,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.012529899991932325,0.20842419999826234,['space'],1,[0.28846270000212826],46.83329040001263,47.836881499999436,None,1,47.836881499999436,None,,,ttuwra,001,fr,200,2022-04-26_10h54.03.739,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.008329399992362596,None,['space'],1,[0.2844458999898052],50.79033380000328,51.78992750000907,None,1,51.78992750000907,50.79033380000328,,,ttuwra,001,fr,200,2022-04-26_10h54.03.739,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.010450500005390495,None,['space'],1,[0.8889977999933762],52.92009880000842,53.94058629999927,None,1,53.94058629999927,52.92009880000842,,,ttuwra,001,fr,200,2022-04-26_10h54.03.739,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.01598393335007131,None,None,0,,55.62420170000405,56.63694350000878,None,1,56.63694350000878,55.62420170000405,,,ttuwra,001,fr,200,2022-04-26_10h54.03.739,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.0011781333159888163,None,None,0,,58.55161950000911,59.582935000013094,None,1,59.582935000013094,58.55161950000911,,,ttuwra,001,fr,200,2022-04-26_10h54.03.739,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.015491800018935464,None,None,0,,62.62465760001214,63.62966310000047,None,1,63.62966310000047,62.62465760001214,,,ttuwra,001,fr,200,2022-04-26_10h54.03.739,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10]], 'y': [[1], [1], [1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,30,0.001527460556607757,False,0.014337800021166913,None,['space'],1,[0.41464170000108425],66.41820080000616,67.41685790001065,None,1,67.41685790001065,66.41820080000616,,,ttuwra,001,fr,200,2022-04-26_10h54.03.739,Bayesian,2022.1.1,None,
