practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,31.46115619991906,None,567,40,0.006099267302654233,1.0247563666198403,None,['space'],1,[0.45421540015377104],33.49355489993468,34.499285799916834,None,1,32.46326390001923,33.49355489993468,None,1,34.499285799916834,None,35.55287180002779,None,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,200,2022-04-22_10h58.50.977,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0131558666471392,None,['space'],1,[0.37998119997791946],38.87977769994177,39.880497799953446,None,1,37.88121629995294,38.87977769994177,None,1,39.880497799953446,None,40.89916819985956,None,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,200,2022-04-22_10h58.50.977,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0052131665870547,None,['space'],1,[0.39737380016595125],43.27726439991966,44.278373499866575,None,1,42.28657540003769,43.30906859994866,None,1,44.278373499866575,None,45.309179899981245,None,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,200,2022-04-22_10h58.50.977,Bayesian,2022.1.1,None,
,,,,0,0,0,0,53.74848650000058,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.016181800048798323,None,['space'],1,[0.26928120013326406],54.84611049992964,55.863733700010926,None,1,55.863733700010926,None,,,tyrfqt,001,fr,200,2022-04-22_10h58.50.977,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.005189500283449888,None,['space'],1,[0.34434060007333755],58.258671999908984,59.26695219986141,None,1,59.26695219986141,58.258671999908984,,,tyrfqt,001,fr,200,2022-04-22_10h58.50.977,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.0018522001337260008,None,['space'],1,[0.3836961002089083],61.931641299976036,62.936770600033924,None,1,62.936770600033924,61.931641299976036,,,tyrfqt,001,fr,200,2022-04-22_10h58.50.977,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.014381000073626637,None,['space'],1,[0.6118400001432747],65.73608419997618,66.74131849990226,None,1,66.74131849990226,65.73608419997618,,,tyrfqt,001,fr,200,2022-04-22_10h58.50.977,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.012444633524864912,None,None,0,,69.36863190005533,70.39498979994096,None,1,70.39498979994096,69.36863190005533,,,tyrfqt,001,fr,200,2022-04-22_10h58.50.977,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,-20,4.405244365040069e-06,False,0.013587499968707561,None,None,0,,71.73577190004289,72.76482649985701,None,1,72.76482649985701,71.73577190004289,,,tyrfqt,001,fr,200,2022-04-22_10h58.50.977,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20]], 'y': [[1], [1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.01214050012640655,None,None,0,,74.768363900017,75.78704599989578,None,1,75.78704599989578,74.768363900017,,,tyrfqt,001,fr,200,2022-04-22_10h58.50.977,Bayesian,2022.1.1,None,
