practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,36.43020250007976,None,567,40,0.006099267302654233,1.0041413666913286,None,['space'],1,[0.3368932999437675],38.42950110009406,39.445400300086476,None,1,37.444942900096066,38.459654000005685,None,1,39.445400300086476,None,40.464082200080156,None,,,,,,,,,,,,,,,,,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0175110667478293,None,['space'],1,[0.39275660004932433],43.50975790002849,44.520109400036745,None,1,42.517210800084285,43.52848360000644,None,1,44.520109400036745,None,45.56420990009792,None,,,,,,,,,,,,,,,,,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.000019866740331,None,['space'],1,[0.3644272000528872],47.93778240005486,48.95581820001826,None,1,46.9477575001074,47.969837600016035,None,1,48.95581820001826,None,50.00506500003394,None,,,,,,,,,,,,,,,,,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,0,0,0,0,54.61454560002312,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.0129742999561131,None,['space'],1,[0.3711454999865964],55.70785510004498,56.71423720009625,None,1,56.71423720009625,None,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.01346696657128632,None,['space'],1,[0.323128700023517],58.459264200064354,59.48179800005164,None,1,59.48179800005164,58.459264200064354,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.009324399870820343,None,['space'],1,[0.38030129997059703],61.71395470004063,62.72473600006197,None,1,62.72473600006197,61.71395470004063,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.010429999907501042,None,['space'],1,[0.503023499972187],64.63094510009978,65.65527099999599,None,1,65.65527099999599,64.63094510009978,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.01022233348339796,None,None,0,,68.65970100008417,69.6707982000662,None,1,69.6707982000662,68.65970100008417,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,-20,4.405244365040069e-06,False,0.00946149998344481,None,None,0,,71.79200610006228,72.7996561001055,None,1,72.7996561001055,71.79200610006228,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20]], 'y': [[1], [1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.008810499915853143,None,None,0,,74.09774260001723,75.10443200008012,None,1,75.10443200008012,74.09774260001723,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10]], 'y': [[1], [1], [1], [1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.016332199913449585,None,['space'],1,[0.4873239001026377],78.03886369999964,79.05413290008437,None,1,79.05413290008437,78.03886369999964,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,-10,2.3657562948074015e-05,False,0.012099400046281517,None,None,0,,80.95320900005754,81.97714970004745,None,1,81.97714970004745,80.95320900005754,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,10,0.00023657562948074026,False,0.01273129996843636,None,['space'],1,[0.38160370010882616],85.056493400014,86.07311280001886,None,1,86.07311280001886,85.056493400014,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.011815733276307583,None,None,0,,87.99658400006592,89.0129291000776,None,1,89.0129291000776,87.99658400006592,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",3000,-10,1.7336842522626584e-05,False,0.010761999990791082,None,None,0,,92.03292390005663,93.05645900010131,None,1,93.05645900010131,92.03292390005663,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",3000,10,0.00017336842522626576,False,0.01260989997535944,None,['space'],1,[0.3995611999416724],94.38245560007636,95.39871370000765,None,1,95.39871370000765,94.38245560007636,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",4000,-10,2.6544222211549425e-05,False,0.006397699937224388,0.19797109998762608,None,0,,97.79316260002088,98.80822480004281,['space'],0,98.80822480004281,97.79316260002088,[0.13440490001812577],,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.008362333290278912,None,None,0,,101.49398980010301,102.49589700007346,['space'],0,102.49589700007346,101.49398980010301,[0.31849859992507845],,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",4000,10,0.00026544222211549425,False,0.006065899971872568,0.19925169995985925,['space'],1,[0.47520230000372976],104.85108990001027,105.8813867000863,None,1,105.8813867000863,104.85108990001027,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",6000,-10,3.664122665694518e-05,False,0.015437199966982007,None,None,0,,108.35853510000743,109.36773880000692,None,1,109.36773880000692,108.35853510000743,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",6000,10,0.00036641226656945183,False,0.014534900081343949,None,['space'],1,[0.4474186000879854],111.24784419999924,112.25557000003755,None,1,112.25557000003755,111.24784419999924,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [6000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.013390733278356493,None,None,0,,114.62835680006538,115.64581960008945,None,1,115.64581960008945,114.62835680006538,,,udoety,001,fr,200,2022-05-03_11h25.26.772,Bayesian,2022.1.1,None,
