practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,132.8913845999632,None,567,40,0.006099267302654233,1.007362466538325,None,['space'],1,[0.798998000100255],134.93519579991698,135.938585099997,None,1,133.92281499993987,134.95897309994325,None,1,135.938585099997,None,136.9853821999859,None,,,,,,,,,,,,,,,,,,,nqnuwy,001,fr,200,2022-05-10_10h12.08.504,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0052040668670088,None,['space'],1,[0.4033029000274837],139.93907970003784,140.96862070006318,None,1,138.9647232000716,139.97992020007223,None,1,140.96862070006318,None,142.0030547999777,None,,,,,,,,,,,,,,,,,,,nqnuwy,001,fr,200,2022-05-10_10h12.08.504,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0127098667435348,None,['space'],1,[0.3730615999083966],144.48221300006844,145.48185539990664,None,1,143.50478509999812,144.52925570006482,None,1,145.48185539990664,None,146.5079767999705,None,,,,,,,,,,,,,,,,,,,nqnuwy,001,fr,200,2022-05-10_10h12.08.504,Bayesian,2022.1.1,None,
,,,,0,0,0,0,152.2474613999948,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.012207699939608574,None,['space'],1,[0.3591219999361783],153.34322619996965,154.35058069997467,None,1,154.35058069997467,None,,,nqnuwy,001,fr,200,2022-05-10_10h12.08.504,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.015933033311739564,None,['space'],1,[0.38975120009854436],156.8479279000312,157.85452659986913,None,1,157.85452659986913,156.8479279000312,,,nqnuwy,001,fr,200,2022-05-10_10h12.08.504,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.016524499747902155,None,['space'],1,[0.2553440001793206],159.95840470003895,160.9645593999885,None,1,160.9645593999885,159.95840470003895,,,nqnuwy,001,fr,200,2022-05-10_10h12.08.504,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.013792133424431086,None,None,0,,163.08983070007525,164.10060800006613,None,1,164.10060800006613,163.08983070007525,,,nqnuwy,001,fr,200,2022-05-10_10h12.08.504,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.00519126676954329,0.19379656692035496,['space'],1,[0.7027696999721229],166.2156223000493,167.2267277999781,None,1,167.2267277999781,166.2156223000493,,,nqnuwy,001,fr,200,2022-05-10_10h12.08.504,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,-20,4.405244365040069e-06,False,0.013540966669097543,0.20970686664804816,None,0,,169.84392430004664,170.838740499923,None,1,170.838740499923,169.84392430004664,,,nqnuwy,001,fr,200,2022-05-10_10h12.08.504,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20]], 'y': [[1], [1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.014093199977651238,None,None,0,,173.70543140009977,174.7276480998844,None,1,174.7276480998844,173.70543140009977,,,nqnuwy,001,fr,200,2022-05-10_10h12.08.504,Bayesian,2022.1.1,None,
