practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,60.6313731999835,None,567,40,0.006099267302654233,1.0080462667392567,None,['space'],1,[0.3344885000260547],62.6377252000384,63.65917720005382,None,1,61.644349799957126,62.66688190004788,None,1,63.65917720005382,None,64.70655670005362,None,,,,,,,,,,,,,,,,,,,wfoooa,001,fr,200,2022-05-04_10h48.31.120,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,0.9999269667314366,None,['space'],1,[0.600524100009352],67.13916909997351,68.15429049998056,None,1,66.14323329995386,67.15054890001193,None,1,68.15429049998056,None,69.17622479994316,None,,,,,,,,,,,,,,,,,,,wfoooa,001,fr,200,2022-05-04_10h48.31.120,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0018957667052746,None,['space'],1,[0.35106379992794245],71.70839219994377,72.72267239994835,None,1,70.71714890003204,71.72091979999095,None,1,72.72267239994835,None,73.7397304000333,None,,,,,,,,,,,,,,,,,,,wfoooa,001,fr,200,2022-05-04_10h48.31.120,Bayesian,2022.1.1,None,
,,,,0,0,0,0,85.10069570003543,None,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.010985299944877625,None,['space'],1,[0.44402970001101494],86.19088140001986,87.20449819997884,None,1,87.20449819997884,None,,,wfoooa,001,fr,200,2022-05-04_10h48.31.120,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.00830473331734538,None,['space'],1,[0.37634600000455976],89.68340049998369,90.70034600002691,None,1,90.70034600002691,89.68340049998369,,,wfoooa,001,fr,200,2022-05-04_10h48.31.120,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.015681166667491198,None,['space'],1,[0.3067442000610754],92.00909599999432,93.03528920002282,None,1,93.03528920002282,92.00909599999432,,,wfoooa,001,fr,200,2022-05-04_10h48.31.120,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.010187333333306015,None,None,0,,95.06878119998146,96.10425890004262,None,1,96.10425890004262,95.06878119998146,,,wfoooa,001,fr,200,2022-05-04_10h48.31.120,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.01231146662030369,None,None,0,,98.49823639995884,99.50773780001327,None,1,99.50773780001327,98.49823639995884,,,wfoooa,001,fr,200,2022-05-04_10h48.31.120,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.011986799887381494,None,['space'],1,[0.4129948999034241],102.01506500004325,103.04465659998823,None,1,103.04465659998823,102.01506500004325,,,wfoooa,001,fr,200,2022-05-04_10h48.31.120,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10]], 'y': [[1], [1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.00805850001052022,None,None,0,,105.45166120002978,106.47199750004802,None,1,106.47199750004802,105.45166120002978,,,wfoooa,001,fr,200,2022-05-04_10h48.31.120,Bayesian,2022.1.1,None,
